objective_value,termination_status,OPEX,day,configuration,solution_id
580077.965144767,OPTIMAL,580077.922698522,3,base_ramp_storage_envelopes_up_1_dn_1,RTS-GMLC_v5.2.2.3.1z
580077.965144767,OPTIMAL,580077.922698522,3,base_ramp_storage_envelopes_up_1_dn_1,RTS-GMLC_v5.2.2.3.2z
