model_type,solution_id,configuration,day,storage_reserve_down_uc_MWh,E_slack_SOE_final_MWh,SOE_0_MWh,E_thermal_production_MWh,E_production_cost,required_reserve_down_uc_MWh,avg_marginal_reserve_down_price_uc_MU_MWh,E_redispatch_cost,ELGEN_cost,slack_reserve_up_uc_MWh,reserve_cost_uc,E_avg_marginal_energy_price_MU_MWh,E_input_RES_production_MWh,EOV,avg_marginal_reserve_up_price_uc_MU_MWh,avg_marginal_energy_price_uc_MU_MWh,required_reserve_up_uc_MWh,slack_reserve_down_cost_uc,E_slack_SOE_final_cost,ECUR,E_start_cost,reserve_up_uc_MWh,input_load_uc_MWh,E_storage_discharge_MWh,E_storage_charge_MWh,E_thermal_reserve_up_activation_MWh,thermal_reserve_down_uc_MWh,E_net_SOE_MWh,EENS_cost,E_SOE_T_MWh,E_storage_net_charge_MWh,E_thermal_reserve_down_activation_MWh,slack_reserve_down_uc_MWh,E_nonRES_nonThermal_production_MWh,CURE,ELGEN,EOPEX,slack_reserve_up_cost_uc,E_storage_reserve_down_activation_MWh,OV_uc,E_fixed_cost,thermal_reserve_up_uc_MWh,storage_reserve_up_uc_MWh,LOLE,E_storage_reserve_up_activation_MWh,EENS,reserve_down_uc_MWh,E_input_load_MWh,OPEX_uc,mu,non-conservative
envelope,RTS-GMLC_v16.0.3su,base_ramp_storage_envelopes_up_0_5_dn_0_5,3,13089.313160161782,-2.2503846291232403e-13,12683.7,35669.95981140071,650297.1289220225,20866.18789651167,,3.7258723750710487e-06,3.757120189370167e-13,6.43734954831072e-11,0.04343209118917747,,7063.199999070024,650297.1289220223,,,22565.751669768717,1.6093374065574836e-08,-2.2503846291232403e-10,-6.572520305780927e-14,0.0,22565.79300698599,41727.38604199865,6711.344545978964,7717.118314149608,7.463425289066436,7776.985022029659,1.6370904631912708e-11,6.709876420222267e-13,12683.700000000017,1005.773768170644,7.463425107322337,6.437349626229934e-11,,0.0,1.2523733964567224e-14,650297.1289220225,1.60933738707768e-08,7.4634256234179945,650297.17235042,0.0,4712.893906205969,17852.89910078003,0.0,7.463425736276463,6.709876420222267e-17,20866.298182191415,41727.3860423,650297.1289182967,0.5,1
conservative,RTS-GMLC_v16.0.3su,base_ramp_storage_envelopes_up_1_dn_1,3,12252.547118890103,3.948517520007422e-12,12683.7,35265.06832644783,650727.6757230919,20866.18789651167,,5.401088856160641e-06,3.969852135156866e-10,2.1445232870768586e-11,0.043433258822214674,,7063.199999070024,660807.1433070869,,,22565.751669768717,5.361308353837571e-09,3.948517520007422e-09,-6.572520305780927e-14,10079.46758399,22565.816503827482,41727.38604199865,4332.59616768525,4933.478450903024,93.52074965837824,8614.895199497108,-3.637978807091713e-11,6.920264745130998e-10,12683.699999999964,600.8822832177739,93.52074939624913,2.1445233415350284e-11,,0.0,1.3232840450522887e-11,660807.1433070819,5.3613082176921465e-09,93.52074933137428,660807.1867349503,0.0,10511.731689722496,12054.084814105001,0.0,93.52074936311695,6.920264745130998e-14,20867.44231838718,41727.3860423,660807.1433016808,1.0,1
envelope,RTS-GMLC_v16.1su,base_ramp_storage_envelopes_up_0_5_dn_0_5,2,6529.070181309831,5716.905919292438,12683.7,31143.77969815396,550660.5197377643,15674.750637312145,,-134787.21573264082,4.693987468515054e-08,7.238276794818017e-12,0.032389402808719985,,6295.599997539259,556377.4256571848,,,16714.638879350496,1.8095691987166218e-09,5716.905919292438,7.638334409421077e-14,0.0,16714.64080389627,43036.27489031638,8076.983149208285,3251.9522866857196,106.38555089463853,9145.6918235139,-5716.905919265452,8.113626831791886e-08,6966.7940807345485,-4825.030862522565,6134.088266488372,7.238276794866484e-12,,0.0,1.564662489505018e-09,550660.5197377643,1.8095691987045044e-09,1539.660674262352,685447.7678598115,0.0,3183.6607457212867,13530.980058174982,0.0,6795.4990577564595,8.113626831791884e-12,15674.762004823695,42264.4105582142,685447.7354704051,0.5,1
conservative,RTS-GMLC_v16.1su,base_ramp_storage_envelopes_up_1_dn_1,2,7325.543322385587,8650.298339729416,12683.7,28336.843648414957,494264.9772438613,15674.750637312145,,-191182.75822676916,4.834136233379063e-09,1.2387736662384657e-10,0.032390138912238124,,6295.599997539259,502915.2755835974,,,16714.638879350496,3.096934165148743e-08,8650.298339729416,7.638334409421077e-14,0.0,16714.848464811414,43036.27489031638,11061.531107540255,3429.5641952801066,0.0,8349.747125041195,-8650.29833972864,1.8640053124471965e-09,4033.401660271361,-7631.966912260148,8834.638765349555,1.238773666059497e-10,,0.0,1.6113787444596877e-10,494264.9772438613,3.096934165596165e-08,436.00868464904374,685447.7678608313,0.0,5319.604140852195,11395.244323959207,0.0,8498.78311791729,1.8640053124471965e-13,15675.290447426776,42264.4105582142,685447.7354706305,1.0,1
envelope,RTS-GMLC_v16.1su,base_ramp_storage_envelopes_up_0_5_dn_0_5,3,13089.313160161782,7151.9087350877635,12683.7,26476.63953831153,448759.601610501,20866.18789651167,,-201537.52730779565,4.599396343292985e-11,6.43734954831072e-11,0.04343209118917747,,7063.199999070024,455911.5103455889,,,22565.751669768717,1.6093374065574836e-08,7151.9087350877635,-6.572520305780927e-14,0.0,22565.79300698599,41727.38604199865,12328.445383167713,6601.808740851528,0.0,7776.985022029659,-7151.9087350877435,7.676947493526502e-11,5531.791264912257,-5726.636642316185,9193.320272907427,6.437349626229934e-11,,0.0,1.533132114430995e-12,448759.601610501,1.60933738707768e-08,1748.8838177490522,650297.17235042,0.0,4712.893906205969,17852.89910078003,0.0,8481.29422834874,7.676947493526502e-15,20866.298182191415,39266.47617969771,650297.1289182967,0.5,1
conservative,RTS-GMLC_v16.1su,base_ramp_storage_envelopes_up_1_dn_1,3,12252.547118890103,8871.871640182559,12683.7,24664.568969920296,419457.70992535236,20866.18789651167,,-231269.96579233842,5.218150307714102e-10,2.1445232870768586e-11,0.043433258822214674,,7063.199999070024,438409.049149526,,,22565.751669768717,5.361308353837571e-09,8871.871640182559,-6.572520305780927e-14,10079.46758399,22565.816503827482,41727.38604199865,13460.51595156987,5921.808740862413,0.0,8614.895199497108,-8871.871640182333,5.400016557296716e-10,3811.8283598176668,-7538.707210707457,10600.499356265369,2.1445233415350284e-11,,0.0,1.7393834359047006e-11,429537.1775093424,5.3613082176921465e-09,2220.7096749230222,660807.1867349503,0.0,10511.731689722496,12054.084814105001,0.0,10360.299168879998,5.4000165572967156e-14,20867.44231838718,39266.47617969771,660807.1433016808,1.0,1
envelope,RTS-GMLC_v16.2su,base_ramp_storage_envelopes_up_0_5_dn_0_5,2,6529.070181309831,5716.9059192661025,12683.7,31143.77969814479,550660.5197379752,15674.750637312145,,-134787.21573242988,8.378973984089714e-08,7.238276794818017e-12,0.032389402808719985,,6295.599997539259,607829.5789308632,,,16714.638879350496,1.8095691987166218e-09,57169.05919266102,7.638334409421077e-14,0.0,16714.64080389627,43036.27489031638,8076.983149063276,3251.952286530305,106.34920775254,9145.6918235139,-5716.905919261342,1.4313778712316787e-07,6966.7940807386585,-4825.030862532971,6134.051923355459,7.238276794866484e-12,,0.0,2.7929913280299046e-09,550660.5197379752,1.8095691987045044e-09,1543.17490089213,685447.7678598115,0.0,3183.6607457212867,13530.980058174982,0.0,6799.013284396644,1.4313778712316784e-11,15674.762004823695,42264.4105582142,685447.7354704051,0.5,1
conservative,RTS-GMLC_v16.2su,base_ramp_storage_envelopes_up_1_dn_1,2,7325.543322385587,8559.91406694103,12683.7,28420.84364841412,494938.86429944646,15674.750637312145,,-190508.871171184,8.323019657056749e-11,1.2387736662384657e-10,0.032390138912238124,,6295.599997539259,580538.0049688569,,,16714.638879350496,3.096934165148743e-08,85599.14066941029,7.638334409421077e-14,0.0,16714.848464811414,43036.27489031638,10997.53110743426,3449.5641951734133,0.0,8349.747125041195,-8559.91406694103,8.380105774897295e-11,4123.785933058972,-7547.9669122608475,8750.638765350403,1.238773666059497e-10,,0.0,2.774339885685583e-12,494938.86429944646,3.096934165596165e-08,456.00868464891187,685447.7678608313,0.0,5319.604140852195,11395.244323959207,0.0,8434.78311791785,8.380105774897295e-15,15675.290447426776,42264.4105582142,685447.7354706305,1.0,1
envelope,RTS-GMLC_v16.2su,base_ramp_storage_envelopes_up_0_5_dn_0_5,3,13089.313160161782,7151.908735087642,12683.7,26476.63953831446,448759.6016105939,20866.18789651167,,-201537.52730770275,4.059318349137818e-09,6.43734954831072e-11,0.04343209118917747,,7063.199999070024,520278.68896148115,,,22565.751669768717,1.6093374065574836e-08,71519.08735087642,-6.572520305780927e-14,0.0,22565.79300698599,41727.38604199865,12328.445383176844,6601.808740863465,0.0,7776.985022029659,-7151.908735087446,6.77543231709046e-09,5531.791264912555,-5726.6366423133795,9193.320272904488,6.437349626229934e-11,,0.0,1.3531061163792727e-10,448759.6016105939,1.60933738707768e-08,1748.8838177491202,650297.17235042,0.0,4712.893906205969,17852.89910078003,0.0,8481.294228346,6.775432317090461e-13,20866.298182191415,39266.47617969771,650297.1289182967,0.5,1
conservative,RTS-GMLC_v16.2su,base_ramp_storage_envelopes_up_1_dn_1,3,12252.547118890103,8771.58935129933,12683.7,24760.568969920172,420227.8665637572,20866.18789651167,,-230499.8091539336,7.374967885653478e-10,2.1445232870768586e-11,0.043433258822214674,,7063.199999070024,518023.22766074224,,,22565.751669768717,5.361308353837571e-09,87715.89351299331,-6.572520305780927e-14,10079.46758399,22565.816503827482,41727.38604199865,13404.51595156112,5961.8087408535275,0.0,8614.895199497108,-8771.589351299288,9.956031323647934e-10,3912.110648700713,-7442.707210707592,10504.499356265509,2.1445233415350284e-11,,0.0,2.4583226285511594e-11,430307.3341477472,5.3613082176921465e-09,2260.7096749228854,660807.1867349503,0.0,10511.731689722496,12054.084814105001,0.0,10304.299168879998,9.956031323647934e-14,20867.44231838718,39266.47617969771,660807.1433016808,1.0,1
envelope,RTS-GMLC_v16.3su,base_ramp_storage_envelopes_up_0_5_dn_0_5,2,6529.070181309831,1.6697755282184996e-12,12683.7,36334.30308072414,668385.2008708848,15674.750637312145,,-17062.534599520266,1.1607114084158648e-10,7.238276794818017e-12,0.032389402808719985,,6295.599997539259,668385.2008708868,,,16714.638879350496,1.8095691987166218e-09,1.6697755282184996e-09,7.638334409421077e-14,0.0,16714.64080389627,43036.27489031638,2886.459766248842,3251.9522862979898,1040.5783786204524,9145.6918235139,-1.8189894035458565e-12,2.0236069356636283e-10,12683.699999999999,365.49252004914797,1877.757711644027,7.238276794866484e-12,,0.0,3.869038028052883e-12,668385.2008708848,1.8095691987045044e-09,2559.0829465947095,685447.7678598115,0.0,3183.6607457212867,13530.980058174982,0.0,2624.3979475171045,2.0236069356636283e-14,15674.762004823695,42264.4105582142,685447.7354704051,0.5,1
conservative,RTS-GMLC_v16.3su,base_ramp_storage_envelopes_up_1_dn_1,2,7325.543322385587,1.7568061698799631e-15,12683.7,36353.77029442441,668553.6272172292,15674.750637312145,,-16894.10825340124,1.2054702055423078e-13,1.2387736662384657e-10,0.032390138912238124,,6295.599997539259,668553.6272172292,,,16714.638879350496,3.096934165148743e-08,1.7568061698799631e-12,7.638334409421077e-14,0.0,16714.848464811414,43036.27489031638,3064.604461423642,3449.5641951730686,963.180277809297,8349.747125041195,-1.8189894035458565e-12,2.1007455210542622e-13,12683.699999999999,384.9597337494265,1780.8923971494353,1.238773666059497e-10,,0.0,4.0182340184743595e-15,668553.6272172292,3.096934165596165e-08,2692.057480313943,685447.7678608313,0.0,5319.604140852195,11395.244323959207,0.0,2737.9052675726152,2.1007455210542622e-17,15675.290447426776,42264.4105582142,685447.7354706305,1.0,1
envelope,RTS-GMLC_v16.3su,base_ramp_storage_envelopes_up_0_5_dn_0_5,3,13089.313160161782,-8.09230127842421e-14,12683.7,33134.893687097574,596944.7292553388,20866.18789651167,,-53352.399662957876,5.3645443369199765e-12,6.43734954831072e-11,0.04343209118917747,,7063.199999070024,596944.7292553387,,,22565.751669768717,1.6093374065574836e-08,-8.09230127842421e-11,-6.572520305780927e-14,0.0,22565.79300698599,41727.38604199865,6354.565172276638,7286.18267874647,325.67877984701795,7776.985022029659,2.000888343900442e-11,9.421029543767284e-12,12683.70000000002,931.6175064698318,2860.7449039684125,6.437349626229934e-11,,0.0,1.7881814456399922e-13,596944.7292553388,1.60933738707768e-08,4154.587025295332,650297.17235042,0.0,4712.893906205969,17852.89910078003,0.0,4228.743287109005,9.421029543767284e-16,20866.298182191415,39266.47617969771,650297.1289182967,0.5,1
conservative,RTS-GMLC_v16.3su,base_ramp_storage_envelopes_up_1_dn_1,3,12252.547118890103,3.8954499000949725e-10,12683.7,32933.58634310073,598776.3391332468,20866.18789651167,,-51951.33658444404,6.655682476374256e-08,2.1445232870768586e-11,0.043433258822214674,,7063.199999070024,608855.8067177928,,,22565.751669768717,5.361308353837571e-09,3.895449900094972e-07,-6.572520305780927e-14,10079.46758399,22565.816503827482,41727.38604199865,5231.4985785545805,5961.808741025382,841.6082266582202,8614.895199497108,6.220943760126829e-10,9.986932470828101e-08,12683.700000000623,730.3101624708015,3173.0902097431563,2.1445233415350284e-11,,0.0,2.2185608254580853e-09,608855.8067172368,5.3613082176921465e-09,3950.778706462196,660807.1867349503,0.0,10511.731689722496,12054.084814105001,0.0,3821.3508272409103,9.986932470828098e-12,20867.44231838718,39266.4761796977,660807.1433016808,1.0,1
