hour,day,reserve_up_MW,reserve_down_MW
1,1,110.92154295,140.59743752499998
2,1,151.49273449999998,137.836322925
3,1,164.42277537500004,139.5874945749999
4,1,151.6463148750002,121.35035177500001
5,1,198.86142572500017,165.07520552499994
6,1,177.00126345000007,200.47867602500003
7,1,197.10813477500022,167.615147025
8,1,197.53903810000003,177.71946272499991
9,1,215.8592964000003,188.34873599999997
10,1,219.49050835000014,253.8394561249999
11,1,209.8594472500003,221.55291869999996
12,1,232.0172098249999,248.1072013500002
13,1,227.03251770000006,243.00149872499992
14,1,237.12259747500025,227.0516690499997
15,1,188.75163150000014,241.99872894999987
16,1,192.56982745000005,217.457746525
17,1,182.32761442500004,205.53598082499997
18,1,255.7410562750003,248.94888622500005
19,1,220.4052788750002,225.31048564999992
20,1,286.0872415000004,316.37307450000014
21,1,241.34459637500012,231.77230512499992
22,1,205.32056550000004,182.69137732500002
23,1,193.1465256250001,198.86568699999998
24,1,156.54757570000004,172.89591367500003
25,2,144.86146562500014,138.22786614999995
26,2,133.3952718000001,110.67745412499991
27,2,138.11522920000013,121.03205010000008
28,2,134.31713110000015,125.08421535000002
29,2,163.19892552500008,143.01269127499995
30,2,158.4201247500003,186.42024822499997
31,2,256.99998810000017,185.78700267499988
32,2,189.51760974999985,190.50972817499982
33,2,220.63424175000023,242.05992824999998
34,2,201.79004910000018,231.80133469999993
35,2,237.28900577499994,231.474536025
36,2,236.03575245000002,259.1671796249998
37,2,298.62037312500024,252.08004882499986
38,2,279.07272872500016,275.55427377499996
39,2,201.26686332499997,249.86330692500007
40,2,240.09121117500035,235.5318919500001
41,2,235.79426355000007,277.015539425
42,2,261.12649732500006,214.91975619999994
43,2,239.29546027499998,181.67259892500005
44,2,246.31879275000006,251.16132395
45,2,248.1074022000002,238.71229772500007
46,2,215.29134,237.41304215000005
47,2,170.44077787500004,185.34338004999998
48,2,188.76953425000022,176.27244032499993
49,3,136.7314097000001,139.35985560000003
50,3,132.31091592499996,136.11873544999997
51,3,145.73866025,135.88067177499988
52,3,119.94342112500001,123.10660837499998
53,3,150.19540330000018,141.63482154999994
54,3,154.1179678750002,197.31110402500002
55,3,189.87226027499997,254.74409357500005
56,3,257.7808525500002,221.77412937499997
57,3,249.73406480000017,265.86777179999984
58,3,279.04071610000017,310.511092525
59,3,259.63560215000007,319.593079625
60,3,253.02940325000014,280.3718653499999
61,3,264.422888225,254.81192842499988
62,3,263.6310717,321.0704470999999
63,3,304.8707680000001,232.97569017500015
64,3,257.2196636500005,215.20765275000008
65,3,216.77215530000018,238.98289804999996
66,3,247.0070614249999,288.73042210000006
67,3,308.52226830000006,213.2490043999998
68,3,302.59037182499986,231.83198489999995
69,3,291.28681242499994,219.28747642500002
70,3,240.9851430500001,152.22496757499997
71,3,208.2259064499999,182.29424617499996
72,3,164.48275135000003,156.469311875
73,4,155.47412942500014,157.69832777499997
74,4,143.2274945,149.22928654999998
75,4,163.88436200000024,159.10200547500006
76,4,142.98287462500014,132.58381510000004
77,4,162.52349467500014,207.9794167249999
78,4,178.18513852500024,198.53614869999996
79,4,210.69009700000043,268.51717289999993
80,4,213.3544270750001,240.54136867499983
81,4,237.69338462500014,258.391563975
82,4,261.9848937500003,304.69921915000003
83,4,329.7307997750001,333.61133092499966
84,4,223.39381794999997,347.2235332999998
85,4,251.76032932500007,245.27094887500004
86,4,179.54252752500003,275.54860074999976
87,4,286.48787707500026,236.81421145000002
88,4,196.01523642500013,227.79505677499986
89,4,228.85544212500014,251.444257075
90,4,245.6992133250002,195.89211069999993
91,4,264.42925645,231.809916375
92,4,293.0183752500001,317.47640605000015
93,4,279.10695365000004,322.01553834999993
94,4,219.71784380000008,236.74624167499982
95,4,213.91910805000015,190.22821954999995
96,4,207.04994600000003,184.90681072499996
97,5,136.18366000000015,162.95719382499993
98,5,132.76802312499998,149.10043652500008
99,5,149.48746755000002,143.31349032500003
100,5,148.992626375,161.83359247499993
101,5,143.36252860000008,153.44979970000003
102,5,200.7529326750001,213.495708875
103,5,201.11298252500018,213.28514572499995
104,5,330.9329266000003,271.51387175
105,5,276.3885959500001,258.473573175
106,5,285.6994001249999,275.36615729999977
107,5,266.25720475000014,296.10366377500003
108,5,250.08361267500015,283.37171062499993
109,5,278.84609005000016,278.7452525499998
110,5,258.9773625250001,272.443136475
111,5,281.8666079999999,224.08892462500006
112,5,245.4014988750003,271.7646059000001
113,5,219.1396887249999,197.72189769999994
114,5,256.352851,314.12534899999997
115,5,260.8173142500002,321.59051170000004
116,5,308.3244495749999,221.8450034999999
117,5,242.60852487500017,268.1678328749997
118,5,218.81147535000008,222.30510692499982
119,5,214.7365878000002,208.72458539999997
120,5,179.141761375,152.0548166250001
121,6,228.98684335000007,173.0760941499999
122,6,128.73226540000007,142.95126174999996
123,6,128.0211749249999,113.34073099999992
124,6,135.0386820750001,139.46492197499995
125,6,123.80437650000003,142.60262220000004
126,6,152.72984202499993,221.458824925
127,6,183.21215825000016,279.61675605000016
128,6,277.8196453000002,247.1138559749998
129,6,200.29915167500036,266.63127707500007
130,6,254.8781472250002,265.5075118750002
131,6,319.78630275000023,345.0913853750001
132,6,305.79866532500046,296.2329443249997
133,6,252.34329232500028,230.66818774999984
134,6,225.51221845000015,204.7382293249999
135,6,250.72963277499986,173.2685843999999
136,6,247.66166310000008,166.68286112500013
137,6,237.33919422500009,193.27393630000006
138,6,203.76767594999995,243.1643657250001
139,6,212.7226586250001,263.12628174999986
140,6,254.58011895000013,239.89643179999985
141,6,268.8104230000003,237.57775159999986
142,6,214.444278275,204.33760417499974
143,6,178.85659922500008,185.4568873
144,6,197.2654042750002,170.14104857499999
145,7,164.81102215000024,160.32219287499998
146,7,153.69693982499996,162.1002048999999
147,7,127.27457277500007,157.29363427499993
148,7,167.7626041000002,177.78734002499993
149,7,156.75858705000007,179.80233964999988
150,7,182.11474877500012,185.97668297500002
151,7,176.02415845000013,187.91087984999996
152,7,223.68113765000015,221.23730327499976
153,7,230.0483513750002,181.93317189999996
154,7,317.2802555750003,233.09931614999988
155,7,255.85772002500005,248.2235609999999
