hour,day,reserve_up_MW,reserve_down_MW
1,1,162.12978347500007,153.7395977499998
2,1,149.96591457500014,142.7890003999999
3,1,154.27695085,116.98538812500004
4,1,168.20207497500022,127.48464912499988
5,1,129.3720807000002,132.9620496749999
6,1,170.21003165000016,157.78987314999995
7,1,204.93162145000022,176.95294472499995
8,1,200.9515293000002,210.5657281249999
9,1,239.72344602500004,227.80914767500002
10,1,255.16591527500006,196.12539282499986
11,1,206.96838707500015,206.61808152500004
12,1,199.54616720000024,173.36782362499997
13,1,228.4774392750001,185.5520207749999
14,1,237.99817692500017,215.59629802499995
15,1,160.17236362500006,238.59317072499994
16,1,220.12391022500015,184.06792967500002
17,1,220.30902262500004,229.61819410000004
18,1,224.77638995000007,238.71908190000002
19,1,289.50280284999985,235.6093151749999
20,1,229.59143712500017,246.4408438250001
21,1,217.83477205000003,206.63499437499982
22,1,234.54632370000002,215.35448327499992
23,1,174.133074325,181.67635387499996
24,1,159.7399860000001,144.99845007499988
25,2,138.32896797500015,141.67586392500002
26,2,88.1994469750001,120.44186805000002
27,2,112.37279527500004,142.832943675
28,2,140.38063577500003,145.481397075
29,2,166.03995257500003,137.54139610000004
30,2,164.687033025,223.503190125
31,2,174.80661462499995,163.98716872500006
32,2,225.3773012750003,266.029482375
33,2,268.2849533250002,237.575607
34,2,244.11059180000012,197.71476967499984
35,2,238.4114366,273.8010320999999
36,2,292.63966025000025,261.969642425
37,2,285.01824725000006,255.91686864999997
38,2,256.1227045750003,218.27827627499997
39,2,205.7207651000002,242.53484992500006
40,2,284.118952775,229.16344405
41,2,218.36223205000016,262.2782324750001
42,2,214.88482550000012,250.1113875749998
43,2,238.45019570000045,249.5957576749998
44,2,240.14563297500013,208.57611839999998
45,2,314.3775793250001,255.31263485
46,2,244.46762775000005,242.27529135
47,2,202.77239585000007,189.13477867499995
48,2,162.14559457500002,179.74382362499995
49,3,182.08980875000026,142.14993834999996
50,3,140.31081037500016,125.84967640000002
51,3,193.08797815000014,140.31800434999997
52,3,156.34136572500006,126.19822749999997
53,3,160.7446568000001,178.06791990000005
54,3,159.173677175,175.81464777499997
55,3,240.97664532499994,218.65999129999992
56,3,210.55559942500017,239.56245819999992
57,3,203.1110758999999,246.6732953
58,3,207.20590230000033,312.43842052499997
59,3,265.56320462499997,308.37319475000004
60,3,267.9841152750003,275.3485099249999
61,3,304.5298511000001,279.77100082499993
62,3,259.12945567500003,285.76665804999993
63,3,293.60503025000014,301.3076168499998
64,3,297.37416157500036,249.4689652250001
65,3,227.22931597500002,261.5440887250001
66,3,202.42682712500005,264.8570497250001
67,3,240.596686525,238.01956995
68,3,230.62575804999994,241.62771672499986
69,3,242.32819399999988,242.81528314999997
70,3,251.90438430000006,228.20918075000012
71,3,214.55094277500018,217.62992194999993
72,3,147.49776125000005,175.16399124999998
73,4,164.65256642500003,161.68600964999996
74,4,150.58136152500003,138.50911424999998
75,4,144.96929960000008,137.52352955000003
76,4,144.11692100000013,143.482276975
77,4,133.298717475,179.95717542499995
78,4,150.6117328499999,181.50104414999998
79,4,179.03362247500013,188.33344462500003
80,4,251.22648542499996,264.8512530499999
81,4,271.64676387500003,265.4092177749997
82,4,277.49745202500014,315.99773612499985
83,4,265.0107136250002,264.80187282499986
84,4,263.5616199249999,279.6354231749998
85,4,234.63723135000004,286.7331364249999
86,4,230.3147072250003,244.7538412
87,4,241.57309890000053,255.61542322499997
88,4,228.16759062500012,275.2685877499999
89,4,196.44448420000015,220.192714075
90,4,259.33098007499984,294.60148312499973
91,4,213.9026908500001,306.9884076249999
92,4,220.99145730000004,337.79761454999993
