hour,day,reserve_up_MW,reserve_down_MW
1,1,129.09975187500007,133.04233397499993
2,1,119.28806677500009,139.99894709999998
3,1,149.9955706250001,147.79916082499997
4,1,117.0726963,123.94920197500002
5,1,123.6469979,146.69757572500004
6,1,158.44582262500006,196.06514435000003
7,1,136.7510290000001,187.47957085000004
8,1,156.05499220000004,190.39210287499986
9,1,196.15769422500023,178.92918974999998
10,1,212.34208682500014,239.47384844999996
11,1,230.82092675000018,246.83067212499986
12,1,202.60489275,299.28345894999984
13,1,206.5182431249999,206.44023879999986
14,1,307.9786300750002,234.1959908999998
15,1,211.90659567500032,203.01589022500002
16,1,191.13779975000006,189.63635920000002
17,1,177.95094175000008,186.672987525
18,1,230.51807262499992,249.97311227500003
19,1,233.202940175,205.44134957499992
20,1,272.55544832500004,211.07502544999983
21,1,255.5640697750002,220.01153904999984
22,1,176.67252280000014,243.28891072499994
23,1,136.094723775,200.50937114999994
24,1,178.7704121250001,172.6995938
25,2,143.49285112499993,157.79907539999994
26,2,116.87765025000007,110.698564675
27,2,155.1304531750002,128.27598254999998
28,2,141.1196346750001,148.07291757500002
29,2,132.6156548,171.17923717500003
30,2,182.53061042500013,172.991318475
31,2,151.72132205000014,221.40387952500004
32,2,214.4807939250001,227.31246567499986
33,2,254.96965477500007,204.22235284999982
34,2,221.81266242500024,237.161169175
35,2,193.748916975,176.49901197500014
36,2,257.4211387250001,228.7164343
37,2,273.87605612500005,285.5603003749998
38,2,239.75216512500003,245.4481126499998
39,2,229.68533164999997,236.63215434999995
40,2,286.5737297500002,187.44277652500003
41,2,290.3089804250003,212.14812814999993
42,2,216.67087994999994,199.9258185750001
43,2,219.37506334999995,219.80503115000016
44,2,201.73676865000027,278.595924025
45,2,196.74787422499998,212.774279975
46,2,222.10232477500017,186.58814597499997
47,2,216.52437907500052,194.96910994999996
48,2,141.8258146750001,225.96710050000002
49,3,122.16919327500001,153.73326445
50,3,143.59871597500012,111.500688225
51,3,120.03205245000004,137.60663862499996
52,3,139.344433075,138.564457275
53,3,165.68686307500002,166.84250507500005
54,3,180.0532040250003,197.6532924749999
55,3,217.53336240000004,237.46479999999997
56,3,238.59587727500025,238.9367599750001
57,3,229.52053980000028,302.38036564999993
58,3,255.08449659999997,259.93882839999986
59,3,241.0039225000001,325.7140412250001
60,3,308.9284153750004,245.80909367499981
61,3,176.64372300000008,234.24618582499988
62,3,261.6211847750002,267.0754210999999
63,3,188.42960462500005,267.29235252499984
64,3,225.15382275000013,242.99882302499992
65,3,213.40536077500025,198.72400162499991
66,3,288.4357267250001,234.87293527499997
67,3,248.19804227500003,265.81347414999993
68,3,252.99498027500005,268.48787164999993
69,3,232.09705909999997,229.41489059999992
70,3,213.0164650750001,191.85635847499992
71,3,160.78276075000025,177.30245652499997
72,3,183.62830532500007,187.61895047499996
73,4,126.05203100000007,178.7543325750001
74,4,171.59776002500004,108.47004849999993
75,4,122.23485930000012,158.17726797499995
76,4,145.2257780000001,168.30457964999994
77,4,158.44132110000015,194.84235260000003
78,4,166.943859525,236.8848595249999
79,4,233.02050057500009,234.13528352500006
80,4,244.72656130000001,268.84429294999995
81,4,252.32710917500015,215.07450884999992
82,4,330.86297680000007,306.3069095249999
83,4,303.5321529750002,282.76719065
