ρ,day,hour,iteration,imbalance_MW,imbalance_up_MW,imbalance_down_MW
0.4,7,163,demand,0.0,0.0,-0.0
0.4,7,164,demand,0.0,0.0,-0.0
0.4,7,165,demand,0.0,0.0,-0.0
0.4,7,166,demand,0.0,0.0,-0.0
0.4,7,167,demand,0.0,0.0,-0.0
0.4,7,168,demand,0.0,0.0,-0.0
0.5,7,145,demand,0.0,0.0,-0.0
0.5,7,146,demand,0.0,0.0,-0.0
0.5,7,147,demand,0.0,0.0,-0.0
0.5,7,148,demand,0.0,0.0,-0.0
0.5,7,149,demand,0.0,0.0,-0.0
0.5,7,150,demand,0.0,0.0,-0.0
0.5,7,151,demand,0.0,0.0,-0.0
0.5,7,152,demand,0.0,0.0,-0.0
0.5,7,153,demand,0.0,0.0,-0.0
0.5,7,154,demand,0.0,0.0,-0.0
0.5,7,155,demand,0.0,0.0,-0.0
0.5,7,156,demand,0.0,0.0,-0.0
0.5,7,157,demand,0.0,0.0,-0.0
0.5,7,158,demand,0.0,0.0,-0.0
0.5,7,159,demand,0.0,0.0,-0.0
0.5,7,160,demand,0.0,0.0,-0.0
0.5,7,161,demand,0.0,0.0,-0.0
0.5,7,162,demand,0.0,0.0,-0.0
0.5,7,163,demand,0.0,0.0,-0.0
0.5,7,164,demand,0.0,0.0,-0.0
0.5,7,165,demand,0.0,0.0,-0.0
0.5,7,166,demand,0.0,0.0,-0.0
0.5,7,167,demand,0.0,0.0,-0.0
0.5,7,168,demand,0.0,0.0,-0.0
0.6,7,145,demand,0.0,0.0,-0.0
0.6,7,146,demand,0.0,0.0,-0.0
0.6,7,147,demand,0.0,0.0,-0.0
0.6,7,148,demand,0.0,0.0,-0.0
0.6,7,149,demand,0.0,0.0,-0.0
0.6,7,150,demand,0.0,0.0,-0.0
0.6,7,151,demand,0.0,0.0,-0.0
0.6,7,152,demand,0.0,0.0,-0.0
0.6,7,153,demand,0.0,0.0,-0.0
0.6,7,154,demand,0.0,0.0,-0.0
0.6,7,155,demand,0.0,0.0,-0.0
0.6,7,156,demand,0.0,0.0,-0.0
0.6,7,157,demand,0.0,0.0,-0.0
0.6,7,158,demand,0.0,0.0,-0.0
0.6,7,159,demand,0.0,0.0,-0.0
0.6,7,160,demand,0.0,0.0,-0.0
0.6,7,161,demand,0.0,0.0,-0.0
0.6,7,162,demand,0.0,0.0,-0.0
0.6,7,163,demand,0.0,0.0,-0.0
0.6,7,164,demand,0.0,0.0,-0.0
0.6,7,165,demand,0.0,0.0,-0.0
0.6,7,166,demand,0.0,0.0,-0.0
0.6,7,167,demand,0.0,0.0,-0.0
0.6,7,168,demand,0.0,0.0,-0.0
0.7,7,145,demand,0.0,0.0,-0.0
0.7,7,146,demand,0.0,0.0,-0.0
0.7,7,147,demand,0.0,0.0,-0.0
0.7,7,148,demand,0.0,0.0,-0.0
0.7,7,149,demand,0.0,0.0,-0.0
0.7,7,150,demand,0.0,0.0,-0.0
0.7,7,151,demand,0.0,0.0,-0.0
0.7,7,152,demand,0.0,0.0,-0.0
0.7,7,153,demand,0.0,0.0,-0.0
0.7,7,154,demand,0.0,0.0,-0.0
0.7,7,155,demand,0.0,0.0,-0.0
0.7,7,156,demand,0.0,0.0,-0.0
0.7,7,157,demand,0.0,0.0,-0.0
0.7,7,158,demand,0.0,0.0,-0.0
0.7,7,159,demand,0.0,0.0,-0.0
0.7,7,160,demand,0.0,0.0,-0.0
0.7,7,161,demand,0.0,0.0,-0.0
0.7,7,162,demand,0.0,0.0,-0.0
0.7,7,163,demand,0.0,0.0,-0.0
0.7,7,164,demand,0.0,0.0,-0.0
0.7,7,165,demand,0.0,0.0,-0.0
0.7,7,166,demand,0.0,0.0,-0.0
0.7,7,167,demand,0.0,0.0,-0.0
0.7,7,168,demand,0.0,0.0,-0.0
0.8,7,145,demand,0.0,0.0,-0.0
0.8,7,146,demand,0.0,0.0,-0.0
0.8,7,147,demand,0.0,0.0,-0.0
0.8,7,148,demand,0.0,0.0,-0.0
0.8,7,149,demand,0.0,0.0,-0.0
0.8,7,150,demand,0.0,0.0,-0.0
0.8,7,151,demand,0.0,0.0,-0.0
0.8,7,152,demand,0.0,0.0,-0.0
0.8,7,153,demand,0.0,0.0,-0.0
0.8,7,154,demand,0.0,0.0,-0.0
0.8,7,155,demand,0.0,0.0,-0.0
0.8,7,156,demand,0.0,0.0,-0.0
0.8,7,157,demand,0.0,0.0,-0.0
0.8,7,158,demand,0.0,0.0,-0.0
0.8,7,159,demand,0.0,0.0,-0.0
0.8,7,160,demand,0.0,0.0,-0.0
0.8,7,161,demand,0.0,0.0,-0.0
0.8,7,162,demand,0.0,0.0,-0.0
0.8,7,163,demand,0.0,0.0,-0.0
0.8,7,164,demand,0.0,0.0,-0.0
0.8,7,165,demand,0.0,0.0,-0.0
0.8,7,166,demand,0.0,0.0,-0.0
0.8,7,167,demand,0.0,0.0,-0.0
0.8,7,168,demand,0.0,0.0,-0.0
0.9,7,145,demand,0.0,0.0,-0.0
0.9,7,146,demand,0.0,0.0,-0.0
0.9,7,147,demand,0.0,0.0,-0.0
0.9,7,148,demand,0.0,0.0,-0.0
0.9,7,149,demand,0.0,0.0,-0.0
0.9,7,150,demand,0.0,0.0,-0.0
0.9,7,151,demand,0.0,0.0,-0.0
0.9,7,152,demand,0.0,0.0,-0.0
0.9,7,153,demand,0.0,0.0,-0.0
0.9,7,154,demand,0.0,0.0,-0.0
0.9,7,155,demand,0.0,0.0,-0.0
0.9,7,156,demand,0.0,0.0,-0.0
0.9,7,157,demand,0.0,0.0,-0.0
0.9,7,158,demand,0.0,0.0,-0.0
0.9,7,159,demand,0.0,0.0,-0.0
0.9,7,160,demand,0.0,0.0,-0.0
0.9,7,161,demand,0.0,0.0,-0.0
0.9,7,162,demand,0.0,0.0,-0.0
0.9,7,163,demand,0.0,0.0,-0.0
0.9,7,164,demand,0.0,0.0,-0.0
0.9,7,165,demand,0.0,0.0,-0.0
0.9,7,166,demand,0.0,0.0,-0.0
0.9,7,167,demand,0.0,0.0,-0.0
0.9,7,168,demand,0.0,0.0,-0.0
0.99,7,145,demand,0.0,0.0,-0.0
0.99,7,146,demand,0.0,0.0,-0.0
0.99,7,147,demand,0.0,0.0,-0.0
0.99,7,148,demand,0.0,0.0,-0.0
0.99,7,149,demand,0.0,0.0,-0.0
0.99,7,150,demand,0.0,0.0,-0.0
0.99,7,151,demand,0.0,0.0,-0.0
0.99,7,152,demand,0.0,0.0,-0.0
0.99,7,153,demand,0.0,0.0,-0.0
0.99,7,154,demand,0.0,0.0,-0.0
0.99,7,155,demand,0.0,0.0,-0.0
0.99,7,156,demand,0.0,0.0,-0.0
0.99,7,157,demand,0.0,0.0,-0.0
0.99,7,158,demand,0.0,0.0,-0.0
0.99,7,159,demand,0.0,0.0,-0.0
0.99,7,160,demand,0.0,0.0,-0.0
0.99,7,161,demand,0.0,0.0,-0.0
0.99,7,162,demand,0.0,0.0,-0.0
0.99,7,163,demand,0.0,0.0,-0.0
0.99,7,164,demand,0.0,0.0,-0.0
0.99,7,165,demand,0.0,0.0,-0.0
0.99,7,166,demand,0.0,0.0,-0.0
0.99,7,167,demand,0.0,0.0,-0.0
0.99,7,168,demand,0.0,0.0,-0.0
0.0,7,145,demand_1,-25.385115999999925,0.0,25.385115999999925
0.0,7,146,demand_1,-10.677891000000045,0.0,10.677891000000045
0.0,7,147,demand_1,-22.984766000000036,0.0,22.984766000000036
0.0,7,148,demand_1,-38.43149399999993,0.0,38.43149399999993
0.0,7,149,demand_1,90.73960499999998,90.73960499999998,-0.0
0.0,7,150,demand_1,-8.725615000000062,0.0,8.725615000000062
0.0,7,151,demand_1,28.32158100000015,28.32158100000015,-0.0
0.0,7,152,demand_1,-135.1840689999999,0.0,135.1840689999999
0.0,7,153,demand_1,87.30790699999989,87.30790699999989,-0.0
