day,iteration,ρ,cumsum_imbalance_MW,cumsum_imbalance_up_MW,cumsum_imbalance_down_MW,cumsum_reserve_up_MW,cumsum_reserve_down_MW,up,down,net_up
7,demand,0.0,0.0,0.0,-0.0,5179.691802255158,5187.901467635773,0.0,-0.0,0.0
7,demand,0.1,0.0,0.0,-0.0,5064.573946693578,5131.369439455269,0.0,-0.0,0.0
7,demand,0.2,0.0,0.0,-0.0,5285.19966886969,5230.853534244208,0.0,-0.0,0.0
7,demand,0.3,0.0,0.0,-0.0,5164.557586221062,5143.371611822016,0.0,-0.0,0.0
7,demand,0.4,0.0,0.0,-0.0,5195.564583564959,5095.170106943769,0.0,-0.0,0.0
7,demand,0.5,0.0,0.0,-0.0,5063.750721046981,5031.448043678632,0.0,-0.0,0.0
7,demand,0.6,0.0,0.0,-0.0,5117.007536517126,5269.592317063222,0.0,-0.0,0.0
7,demand,0.7,0.0,0.0,-0.0,5272.016121924724,5078.445394261878,0.0,-0.0,0.0
7,demand,0.8,0.0,0.0,-0.0,5028.89951580698,5297.046840107661,0.0,-0.0,0.0
7,demand,0.9,0.0,0.0,-0.0,4989.92485899817,5004.183902520532,0.0,-0.0,0.0
7,demand,0.99,0.0,0.0,-0.0,4399.522395965535,4068.1036846270567,0.0,-0.0,0.0
7,demand_1,0.0,254.29983887007506,1230.9468163852846,976.6469775152095,5179.691802255158,5187.901467635773,0.23764866007073032,0.18855310601491626,0.08484490341272302
7,demand_1,0.1,785.0186763000963,1293.5785108412522,508.55983454115585,5064.573946693578,5131.369439455269,0.25541704484061656,0.1004151267004741,0.18524530608840792
7,demand_1,0.2,939.7654079383519,1696.9675407062507,757.2021327678988,5285.19966886969,5230.853534244208,0.3210791733567882,0.14326840615462244,0.21719216781251713
7,demand_1,0.3,-284.92895748351543,1057.788498633209,1342.7174561167244,5164.557586221062,5143.371611822016,0.20481686591226478,0.25998692699236586,-0.01656094466747142
7,demand_1,0.4,-1175.813536924356,628.3509825421072,1804.1645194664632,5195.564583564959,5095.170106943769,0.12093988486443978,0.3472509080482891,-0.18801443881264363
7,demand_1,0.5,-526.7335455384741,850.0017271028375,1376.7352726413117,5063.750721046981,5031.448043678632,0.16786010487638917,0.27188053845522986,-0.06767345964360585
7,demand_1,0.6,-222.05358134272046,854.0482814198533,1076.1018627625738,5117.007536517126,5269.592317063222,0.16690385451360082,0.21029905761972337,-0.012057899843188103
7,demand_1,0.7,-916.6235084039981,686.3402664735686,1602.9637748775667,5272.016121924724,5078.445394261878,0.13018554014265749,0.30405137954933864,-0.13822124729119867
7,demand_1,0.8,1041.33476419166,1911.6968182067494,870.3620540150894,5028.89951580698,5297.046840107661,0.3801421786611265,0.17307207099273758,0.25397171497051446
7,demand_1,0.9,1465.411306318343,1682.0751852827618,216.66387896441893,4989.92485899817,5004.183902520532,0.33709429156022863,0.04342026885910235,0.32646019130204823
7,demand_1,0.99,-2305.5265174478973,0.0,2305.5265174478973,4399.522395965535,4068.1036846270567,0.0,0.5240401820802456,-0.48211696751382593
7,demand_2,0.0,449.4614560088337,1177.9580731246704,728.4966171158367,5179.691802255158,5187.901467635773,0.22741856428828555,0.14064478060232471,0.11780089346356291
7,demand_2,0.1,-107.42390422329208,1090.4694038417217,1197.8933080650138,5064.573946693578,5131.369439455269,0.21531315670761167,0.23652400392871387,0.01643395628516111
7,demand_2,0.2,-615.6842586326286,690.5929386019011,1306.2771972345297,5285.19966886969,5230.853534244208,0.13066543969370858,0.24715758704985585,-0.08535732824487978
7,demand_2,0.3,168.4365086876296,793.1701006699468,624.7335919823172,5164.557586221062,5143.371611822016,0.15357948622474635,0.12096555833728995,0.05564591048702624
7,demand_2,0.4,7.7691904541541135,811.5685666951433,803.7993762409892,5195.564583564959,5095.170106943769,0.1562041148063801,0.15470876423779506,0.027455018212511225
7,demand_2,0.5,1179.7495409214143,1982.254100486865,802.5045595654506,5063.750721046981,5031.448043678632,0.39145965306858826,0.1584802656714359,0.2796977784829184
7,demand_2,0.6,1070.0430717164252,1620.8751822736658,550.8321105572406,5117.007536517126,5269.592317063222,0.31676232069357263,0.10764731273625652,0.24527134260174466
7,demand_2,0.7,896.1559676663603,1315.7437849160608,419.5878172497005,5272.016121924724,5078.445394261878,0.24957127491402759,0.07958773409374857,0.19805240954030298
7,demand_2,0.8,1003.007958380105,1222.143357802284,219.13539942217903,5028.89951580698,5297.046840107661,0.24302401628046222,0.04357521933643462,0.22406733764576517
7,demand_2,0.9,1478.0326120031982,1512.2019181860476,34.16930618284937,4989.92485899817,5004.183902520532,0.3030510400290182,0.00684765946349532,0.32310345767295195
7,demand_2,0.99,740.4591409256593,740.4591409256593,-0.0,4399.522395965535,4068.1036846270567,0.1683044372281586,-0.0,0.1829396056827811
7,demand_3,0.0,462.8557753689388,1086.9569160711408,624.101140702202,5179.691802255158,5187.901467635773,0.2098497280471198,0.12049001456620989,0.11724671708508666
7,demand_3,0.1,687.9400705371374,1230.5796878743927,542.6396173372552,5064.573946693578,5131.369439455269,0.24297792881033559,0.10714417896721976,0.16553379970921825
7,demand_3,0.2,-55.4911221606385,1149.8946298568706,1205.385752017509,5285.19966886969,5230.853534244208,0.21756881516319151,0.2280681577873664,0.026665137404309328
7,demand_3,0.3,-1085.1864123590851,608.2810024459566,1693.4674148050417,5164.557586221062,5143.371611822016,0.11777988574836272,0.3279017392163812,-0.1736479851351982
7,demand_3,0.4,-1395.6316641837159,424.09478137018436,1819.7264455539002,5195.564583564959,5095.170106943769,0.08162631308861334,0.35024614096997464,-0.23350219633518823
7,demand_3,0.5,-752.0172688552611,669.1437291718139,1421.160998027075,5063.750721046981,5031.448043678632,0.13214389215302086,0.280653822890641,-0.11456685167567142
7,demand_3,0.6,574.8670567086774,1133.4885598990886,558.6215031904112,5117.007536517126,5269.592317063222,0.2215139516230992,0.10916956819075452,0.14034003163743972
7,demand_3,0.7,-707.1227760896204,440.1127254858734,1147.2355015754938,5272.016121924724,5078.445394261878,0.08348091419060298,0.21760849645441857,-0.10945969261784444
7,demand_3,0.8,-312.52722428588686,674.4611960656471,986.9884203515339,5028.89951580698,5297.046840107661,0.13411705561935797,0.19626330119526228,-0.034782828817730455
