hour,resource,configuration,day,production_MW
192,biomass,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,21.366
169,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
170,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
171,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
172,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
173,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.365999999999772
174,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
175,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
176,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
177,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
178,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
179,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.36599999999909
180,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
181,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
182,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
183,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.365999999999545
184,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.365999999999545
185,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
186,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
187,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
188,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
189,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
190,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
191,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
192,biomass,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,21.366
169,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
170,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
171,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
172,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
173,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
174,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
175,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
176,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
177,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.365999999999545
178,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.36599999999909
179,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.36599999999909
180,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
181,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
182,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.36599999999909
183,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.36599999999909
184,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.365999999999545
185,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.365999999999545
186,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
187,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
188,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
189,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
190,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
191,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.366
192,biomass,base_ramp_storage_envelopes_up_0_dn_0,7,21.365999999999772
169,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
170,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
171,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.365999999991587
172,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
173,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
174,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
175,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.365999999999545
176,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.36599999999045
177,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
178,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.365999999999545
179,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.36599999999909
180,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
181,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.36599999999818
182,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.365999999999545
183,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.365999999999545
184,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.365999999999545
185,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
186,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
187,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
188,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
189,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
190,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
191,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
192,biomass,base_ramp_storage_envelopes_up_0_6_dn_0_6,7,21.366
169,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.7963280000000001
170,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.794132
171,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.7919359999999998
172,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.78974
173,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.7868120000000118
174,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
175,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
176,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.7868119999999834
177,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
178,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.7868119999999976
179,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786811999999827
180,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
181,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
182,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786811999999827
183,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
184,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
185,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
186,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.7868119999999976
187,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
188,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
189,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
190,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
191,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.7868119999999976
192,small_hydroelectric,base_ramp_storage_envelopes_up_0_2_dn_0_2,7,1.786812
169,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.7963280000000001
170,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.794132
171,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.7919359999999998
172,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.78974
173,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.7868120000000118
174,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
175,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
176,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.7868119999999834
177,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
178,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.7868119999999976
179,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786811999999827
180,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
181,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
182,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786811999999827
183,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
184,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
185,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
186,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.7868119999999976
187,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
188,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
189,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
190,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
191,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.7868119999999976
192,small_hydroelectric,base_ramp_storage_envelopes_up_1_dn_1,7,1.786812
169,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.7963280000000001
170,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.794132
171,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.7919359999999998
172,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.78974
173,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.7868120000000118
174,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
175,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
176,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.7868119999999834
177,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
178,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.7868119999999976
179,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786811999999827
180,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
181,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
182,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786811999999827
183,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
184,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
185,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
186,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.7868119999999976
187,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
188,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
189,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
190,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
191,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.7868119999999976
192,small_hydroelectric,base_ramp_storage_envelopes_up_0_4_dn_0_4,7,1.786812
169,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.7963280000000001
170,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.794132
171,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.7919359999999998
172,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.78974
173,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.7868120000000118
174,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
175,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
176,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.7868119999999834
177,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
178,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.7868119999999976
179,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786811999999827
180,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
181,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
182,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786811999999827
183,small_hydroelectric,base_ramp_storage_envelopes_up_0_8_dn_0_8,7,1.786812
