configuration,day,r_id,mu,SOE_MWh,SOC
base_ramp_storage_envelopes_up_0_dn_0,7,108,0.0,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_dn_0,7,109,0.0,701.25,0.5
base_ramp_storage_envelopes_up_0_dn_0,7,110,0.0,630.75,0.5
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,101,0.2,109.51143009025456,0.12580290647932738
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,102,0.2,503.8621748584579,0.3901673957398629
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,103,0.2,307.2715053157328,0.37845979223516707
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,104,0.2,642.5062931771736,0.40184270009204626
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,105,0.2,534.6562276598047,0.464635637142438
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,106,0.2,622.8904242010686,0.44270819061909605
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,107,0.2,621.2888600000005,0.4903621625887931
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,108,0.2,377.3773977056377,0.4306977832750936
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,109,0.2,701.25,0.5
base_ramp_storage_envelopes_up_0_2_dn_0_2,1,110,0.2,441.80494885068293,0.35022191744009795
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,101,0.2,242.25285705612615,0.27829162212076497
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,102,0.2,522.5403870821536,0.40463093315948073
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,103,0.2,405.9499999999999,0.5
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,104,0.2,791.9474096780805,0.4953076550616538
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,105,0.2,527.5688627090404,0.4584764601625439
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,106,0.2,608.2424087342209,0.4322973764990909
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,107,0.2,595.9581732926982,0.4703695132539067
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,108,0.2,28.69133875577048,0.032745193740892936
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,109,0.2,630.8241848689069,0.44978551505804437
base_ramp_storage_envelopes_up_0_2_dn_0_2,2,110,0.2,413.73626495347764,0.327971672575092
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,101,0.2,263.20911638641616,0.3023654409953089
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,102,0.2,539.6603399433438,0.4178878271204453
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,103,0.2,275.0067641912937,0.3387199953088964
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,104,0.2,733.9105680447262,0.4590096741789527
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,105,0.2,561.2746249755602,0.48776798902890484
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,106,0.2,641.0184806095768,0.45559238138562624
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,107,0.2,537.2134254142387,0.4240042820949011
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,108,0.2,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,109,0.2,614.5189208011346,0.4381596583252286
base_ramp_storage_envelopes_up_0_2_dn_0_2,3,110,0.2,163.40396544085115,0.1295314827117325
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,101,0.2,90.76996483130017,0.10427336568788087
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,102,0.2,574.66089858357,0.44499062922686256
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,103,0.2,355.7693649132085,0.4381935766882725
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,104,0.2,778.0738633986912,0.4866307232464138
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,105,0.2,575.349999999999,0.5
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,106,0.2,628.8104794256268,0.4469157636287308
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,107,0.2,448.07225751997146,0.3536481906234984
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,108,0.2,438.0999999999992,0.5
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,109,0.2,699.7949999999987,0.49896256684491874
base_ramp_storage_envelopes_up_0_2_dn_0_2,4,110,0.2,183.65208241027926,0.14558230868829064
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,101,0.2,9.064289014885423,0.010412738673044732
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,102,0.2,570.1563991713828,0.4415025547246263
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,103,0.2,394.1432840000003,0.4854579184628639
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,104,0.2,729.608862477558,0.45631925853871924
base_ramp_storage_envelopes_up_0_2_dn_0_2,5,105,0.2,575.349999999999,0.5
