hour,day,reserve_up_MW,reserve_down_MW
1,1,138.96908872500006,136.39933110000004
2,1,133.16160112500012,132.82851160000004
3,1,118.8763426,158.94805369999986
4,1,127.95712417500005,125.56027815000002
5,1,143.2056500750001,156.3751658249999
6,1,185.77768730000003,172.87383639999993
7,1,208.70481552499993,180.08759689999994
8,1,217.58292095000002,197.4509913499999
9,1,220.99813697500014,193.0151103249999
10,1,202.91143580000002,191.61274367499993
11,1,238.570953275,205.2407155249998
12,1,231.74456875000004,257.09075247500004
13,1,184.06300392500003,249.08390962500013
14,1,250.87925635000028,222.3805638249999
15,1,223.79875510000005,256.1806255749999
16,1,229.72866852500002,209.8927255999999
17,1,188.82921542500014,245.52393204999987
18,1,199.6752974999999,243.94205099999994
19,1,279.73366414999987,254.4805217999999
20,1,234.14038265000022,206.10784687500015
21,1,206.69310134999995,282.970577325
22,1,194.1989398750001,187.84633974999986
23,1,151.1819901,172.38030600000002
24,1,128.71125600000005,171.59134034999994
25,2,140.57959422500008,143.4007920499999
26,2,151.8125687750001,119.14236742499997
27,2,132.4896402250001,141.97631992499996
28,2,135.0247538250001,121.00381700000005
29,2,179.72053695000005,154.4643509749999
30,2,200.940872075,182.5180735999998
31,2,207.17801497500022,223.7346234499999
32,2,215.4606920250001,211.99711202499986
33,2,198.56626519999998,251.61412212500005
34,2,352.3933337000003,241.15260097499976
35,2,212.43083930000006,285.7862628249999
36,2,281.0989247750001,269.20483370000005
37,2,260.0732958250002,266.39078007500007
38,2,259.6838532499999,210.18930424999985
39,2,177.48711232500017,238.61146477500006
40,2,203.6909189750001,228.65739844999973
41,2,200.58730665000013,253.73384202500011
42,2,253.13016065000002,265.6912835999999
43,2,282.13402565000024,210.31952884999998
44,2,234.09529232500012,223.67123277500008
45,2,286.8882143500002,248.16768395000003
46,2,262.8529721000001,200.58908662499988
47,2,186.76365255000005,171.87936389999993
48,2,156.46746212500017,169.93418357499996
49,3,163.88117234999999,154.016357775
50,3,145.57195667500008,144.15857192500002
51,3,123.7764478500001,151.18279042499995
52,3,121.60425945000007,169.27307012499995
53,3,156.3126344750001,143.67507629999997
54,3,196.16422697500005,192.39786114999993
55,3,272.11352730000027,197.51663177499998
56,3,254.60001155000018,207.03649522499973
57,3,282.21239850000006,224.32332824999986
58,3,251.97741967499996,261.83328427499987
59,3,236.9273502250001,323.6914553749998
60,3,316.7649559250001,249.58238262499998
61,3,194.84253395,196.78954792500002
62,3,247.77298907500005,233.77986997499988
63,3,270.93388914999997,244.9331008749999
64,3,282.8296440500002,222.90423277499988
65,3,289.9047675000003,244.8477846249998
66,3,333.45709107500033,261.43998635
67,3,258.50127042500014,226.56643992499988
68,3,212.42717094999998,232.76356224999992
69,3,248.4556273250002,271.78955437499985
70,3,227.10809612500006,231.42296402499983
71,3,181.53462297500016,178.6666050249999
72,3,172.5539421750001,156.28418094999992
73,4,163.59311362500011,174.30552792499998
74,4,168.55921385000005,175.61498909999995
75,4,150.32411105000028,141.17054749999994
76,4,114.26237635000004,161.76527115000005
77,4,139.45251907500005,202.07217314999997
78,4,230.28400464999987,214.947440225
79,4,241.0644060250001,231.7093154749999
80,4,280.0848410250002,229.89763032499974
81,4,249.45057517500027,293.4672266
82,4,279.1743851499999,259.0580298
83,4,296.6952075000004,271.9000242749999
84,4,220.0181149250001,298.2951910749998
85,4,302.1797395000001,261.50721577499985
86,4,245.2472153999999,247.0601943749998
87,4,253.86234435000017,250.57834189999994
88,4,243.2762407750002,242.491661475
89,4,242.88330072500008,223.34239332500002
90,4,289.3015822500002,292.85193225
91,4,251.42896130000042,265.499077775
92,4,246.88782735,267.0524307499998
93,4,218.45926857500012,245.96714412499995
94,4,280.07354267500034,204.61090865000006
95,4,202.536619825,188.637438375
96,4,166.39858962500003,205.44217677500006
97,5,171.22888920000005,175.4085573
98,5,166.61838647500002,143.63041939999982
99,5,137.934799375,160.02810334999992
100,5,149.68033005000007,180.37498677499997
101,5,191.76007275000003,177.9489263249999
102,5,182.5351359750003,164.78618857499993
103,5,217.8686814750002,226.15069242499993
104,5,295.18408117500024,227.41609484999998
105,5,303.697560975,256.5920776000001
106,5,320.0404664250004,283.893631475
107,5,303.42784249999994,302.97343292499977
108,5,313.72911369999997,324.6857417499998
109,5,266.404969175,326.8431731499999
110,5,246.0181087250002,261.94426162499974
111,5,218.2970222000002,241.73083275
112,5,268.8815192000002,241.8539756999999
113,5,214.74490315000008,296.1784307749999
114,5,309.9344949,249.8870536999999
115,5,270.56570017500025,297.83508407500005
116,5,226.64872935000022,217.64665519999994
117,5,250.57650452500008,244.83134959999984
118,5,237.21476282500007,245.58888652499988
119,5,191.07538720000002,209.108990975
120,5,156.88211972500005,161.24300042499996
121,6,160.20575150000008,158.164152075
122,6,152.47519380000006,134.11308310000007
123,6,136.02477197500008,161.62525737500002
124,6,165.47000159999993,145.53461837499987
125,6,183.91456624999995,149.7480938
126,6,181.2657615999999,208.31913907499995
127,6,217.64343422499996,231.18984324999997
128,6,254.32568932499998,225.466400175
129,6,303.4650966500002,232.38556695000008
130,6,265.3387379249998,272.6328322250001
131,6,295.47229315000004,261.11403789999997
132,6,278.19990414999995,236.10726684999992
133,6,253.34573905000022,210.1513243999999
134,6,300.17474542500025,287.3778902499998
135,6,220.03152467499996,195.47343550000016
136,6,201.98642065000007,284.6176267499998
137,6,242.2931904500004,223.6851027249998
138,6,260.12877250000014,234.0896948249998
139,6,231.91146107499998,251.76325672499985
140,6,279.6927545750004,266.5233411250001
141,6,230.474684625,200.63463682499992
142,6,232.20647944999985,241.89278747499995
143,6,191.17282879999996,185.97942334999996
144,6,188.32591187499997,151.45610247500002
145,7,143.9955772250002,199.93003440000004
146,7,141.8103417250001,212.42033154999984
147,7,164.2230504750001,116.66796382500002
148,7,145.75817982500013,163.50013969999992
149,7,192.36405255,174.25592639999994
150,7,199.10795260000032,158.98922860000005
151,7,263.48936982500004,191.13200129999998
152,7,255.40916017500012,277.21256825
153,7,166.70617072500005,208.11365227500002
154,7,234.66666057500004,245.59119227499997
155,7,256.66017792499997,224.43586755
156,7,271.1612600499999,261.35134819999985
157,7,263.26329527499996,211.85441882499978
158,7,223.28183807500005,225.1813859000001
159,7,216.73470097500004,240.49106732499996
160,7,207.7611979500003,213.4776207749999
161,7,177.14775112500047,264.7780175749999
162,7,217.545753725,232.5626117000001
163,7,216.42431285000018,184.21240992500012
164,7,190.17214835000033,230.95002457500004
165,7,167.7149324250001,201.673456675
166,7,204.31612540000032,231.073058575
167,7,168.91300285000014,245.64427507500005
168,7,136.288078125,204.42984389999998
169,8,165.78382802500002,169.10053144999995
170,8,117.16117577500012,172.84306405000007
171,8,112.26028100000012,182.89302224999994
172,8,141.60579127499994,149.56162524999985
173,8,169.27494755000015,169.80183729999996
174,8,216.8825344250003,133.02027764999994
175,8,186.65832822500008,173.61679882499996
176,8,252.70145770000028,189.03702915
177,8,224.8658007500002,228.57502557499987
178,8,210.37007247500017,221.00786302500006
179,8,279.7281340749999,304.61034340000003
180,8,193.76248205000013,233.71397202500006
181,8,203.64581169999997,182.8174347749998
182,8,222.45055874999997,213.52427332500002
183,8,208.44122137500005,221.71599149999992
184,8,194.24868959999998,193.4099198999998
185,8,233.99675004999995,219.2930967999999
186,8,252.22146914999985,231.66260387500012
187,8,247.18769125,238.2618069
188,8,219.8281291749999,238.29993189999996
189,8,234.95192475,235.12234929999988
190,8,253.37455325000002,239.07807574999998
191,8,166.84186602500017,156.374184925
192,8,144.93176244999995,139.35123647500006
193,9,171.03801947500006,166.994159125
194,9,125.6410626000002,173.1994110999999
195,9,151.25287100000003,146.281686375
196,9,173.446069475,118.85355852499998
197,9,175.73226955,178.28852649999993
198,9,205.63868937500007,178.74026242500003
199,9,249.03565750000013,260.4202279999999
200,9,256.11972480000014,228.0541776500001
201,9,262.5241586500002,315.11736499999995
202,9,300.27583207500027,300.7591735249998
203,9,308.0219655500001,247.1619633249999
204,9,332.5351255250007,308.21763577499996
205,9,278.142886025,235.15016962500002
206,9,225.94458187500015,269.5270349999999
207,9,220.5514804250002,229.7971321500001
208,9,299.7025147500001,231.800361125
209,9,246.29966450000012,248.58849785000007
210,9,255.86635682500003,245.567508525
211,9,241.83391057500015,255.5853477249999
212,9,242.42809692500012,250.3036956749999
213,9,220.50900815000028,232.22559177500003
214,9,208.313743,227.33888622500012
215,9,193.0557564500002,176.92930460000002
216,9,106.1803519750001,130.11619862499992
217,10,155.6290205250001,145.27494982500005
218,10,175.71216790000014,132.76424217499996
219,10,122.31867279999999,107.69917665
220,10,150.60170530000022,127.06204577499993
221,10,178.06376840000013,175.362939625
222,10,161.88462204999985,242.38857507500006
223,10,206.89304145000017,242.7488511500001
224,10,255.98514880000005,244.66758047500002
225,10,324.07461757500016,262.9006665500001
226,10,218.1720457250002,233.12297395000002
227,10,323.66792449999997,324.31343044999994
228,10,311.2528210500003,281.3572273000001
229,10,269.52225630000027,191.76358665000004
230,10,318.61955164999995,220.1512056
231,10,270.73548515000016,213.66300942500004
232,10,203.52272415000013,259.92185005000016
233,10,256.0355617750003,255.54313304999988
234,10,209.772129825,273.000337875
235,10,315.24482217499997,229.89184379999983
236,10,247.3870351999999,253.6410363
237,10,279.0043413500005,230.1151705749998
238,10,206.00975680000022,188.93548284999977
239,10,213.73805874999996,203.41833642499998
240,10,184.80899619999997,134.37386937499994
241,11,159.07291852499998,147.20144107500002
242,11,135.74339810000006,119.28325012499998
243,11,143.07264360000008,171.67349702500002
244,11,160.34217950000001,115.31523965000002
245,11,147.503025,131.68835239999993
246,11,238.20027212500008,202.6593001999999
247,11,233.58482825000021,248.32526612499987
248,11,233.17660825000016,270.2014695
249,11,308.7404776000002,240.9480507500001
250,11,264.66392195000026,324.2447667749999
251,11,263.47598717500006,292.697159425
252,11,253.284772675,280.6468142499999
253,11,238.44417935,240.85956552499977
254,11,220.84712510000014,254.8357802
255,11,213.4419051000002,214.09446024999977
256,11,182.21840280000018,226.49026615
257,11,249.50956254999988,203.68010382500012
258,11,259.7994352000003,343.95536557499986
259,11,221.99473115000035,210.35557782499993
260,11,319.80661070000014,256.21992442500004
261,11,290.21241375,206.928830075
262,11,168.21867572500005,280.84920767499995
263,11,218.02139190000042,165.384735875
264,11,198.2860544250002,181.78159397499996
265,12,154.0626085,135.2306690999999
266,12,148.62933407499992,145.99264820000002
267,12,136.89109487499996,197.6514464
268,12,137.54054335000018,184.62530305
269,12,146.23786342500006,160.51049769999992
270,12,177.8705534,172.43784225000002
271,12,260.3561631750002,222.4750742999999
272,12,282.480630325,275.28122310000003
273,12,306.6431423750001,297.44092692500004
274,12,254.1409492500003,267.48880537499997
275,12,240.83732115000004,262.9438160249998
276,12,294.5944301000003,247.16816137499984
277,12,321.7935444499999,308.8225203000001
278,12,250.9712937250003,269.6046737749999
279,12,258.18882722500007,265.3269955249999
280,12,268.49945032500017,208.69783467499997
281,12,283.6941809750001,198.62394549999988
282,12,247.21319040000023,251.06178407499993
283,12,252.19910155000002,230.69011454999998
284,12,299.56989380000005,246.80593644999993
285,12,271.6444521750002,243.6997141999998
286,12,251.41722122500002,267.27086877499994
287,12,206.966009025,160.10104067499998
288,12,171.40031722500004,143.60338297499996
289,13,135.59308937500015,152.72356687499996
290,13,166.66690292500004,172.38616947499997
291,13,183.22483705000005,150.99375134999985
292,13,175.76367917500016,150.17866745000003
293,13,167.4138701,146.28510749999987
294,13,229.09688525000033,217.21873727499997
295,13,212.9009421500001,249.17049287500012
296,13,269.21769545000006,253.75626707499987
297,13,267.8012233750002,319.47334664999994
298,13,294.27620815,295.519920525
299,13,323.38765027500006,298.7987763499999
300,13,260.47335807499996,235.23511729999996
301,13,251.17575285000044,311.5357809499999
302,13,263.65074185,298.6806880499999
303,13,214.49362090000022,241.17894557499972
304,13,217.85273524999997,235.67024877500006
305,13,238.44539820000028,242.14068205
306,13,211.08051782500013,283.62184452499986
307,13,237.63468377500004,224.58743267500012
308,13,218.51062707500006,214.49792534999995
309,13,225.04199805000002,203.48087642500002
310,13,230.17593034999993,228.98082225000007
311,13,223.96662070000005,189.35203407499995
312,13,132.18005260000004,165.38372362499993
313,14,145.2442099750001,175.24373667499998
314,14,167.52053825000002,153.61844512500005
315,14,137.50256265000002,145.04357044999992
316,14,135.69293080000014,151.574267125
317,14,134.14459220000006,159.37481054999998
318,14,157.60345975000007,174.92307122499994
319,14,217.9631695499999,197.9400122750001
320,14,206.14347062500008,191.49867152499976
321,14,241.50387912500003,235.58866509999984
322,14,268.87980937500026,218.204052325
323,14,299.80221844999994,339.2768819249999
324,14,248.90676755000013,300.86754219999995
325,14,292.61462037499996,193.7042080000001
326,14,265.086111675,186.66642367499998
327,14,236.00139785000022,195.88785744999998
328,14,263.539696025,146.50182537499984
329,14,168.7152073250003,186.59480107499996
330,14,217.44517292499995,222.70564530000001
331,14,261.34375234999993,230.4746195
332,14,193.73461622499997,272.84766217499987
333,14,249.33343052500015,216.89808204999997
334,14,223.45605250000014,209.77931379999993
335,14,177.45034859999998,237.9054237499999
336,14,164.2883724250001,132.11248155
337,15,136.8465823250001,158.9752436500001
338,15,120.94922552499997,124.26471947499999
339,15,154.12559517499997,134.50346272500005
340,15,135.28774687499998,130.89053082500004
341,15,162.34033595000017,185.65380064999988
342,15,164.86755222500022,203.60888207500003
343,15,254.38120105000002,204.89418152500002
344,15,191.23017825000005,229.86524405
345,15,222.16216297500006,335.54532345
346,15,227.0547908999999,195.48577977500003
347,15,258.0284036250003,246.59739037499986
348,15,221.60459759999998,242.7716349749998
349,15,260.2534704000001,247.80274769999977
350,15,267.086596625,259.72665422499983
351,15,251.06313805000008,182.59665137500002
352,15,223.81574540000008,175.72602510000016
353,15,221.70141237500005,245.3445162499999
354,15,302.64078750000033,214.45664817499994
355,15,242.91941344999992,305.3802048499998
356,15,235.6984049750003,217.78694889999997
357,15,194.44220554999993,227.55091730000004
358,15,190.81340325000014,260.747116725
359,15,210.36654792500008,179.63726540000002
360,15,184.82867717500005,194.6267969749999
361,16,143.58981082500003,143.797476375
362,16,116.15430982500015,139.8705355249999
363,16,150.94450822500008,108.19107782500004
364,16,158.43745217500003,123.66882564999995
365,16,177.10288552500012,170.58521407499993
366,16,212.16726695000017,187.19419640000004
367,16,231.88195670000033,219.91559157500006
368,16,288.6933564500001,269.06472105
369,16,241.58374410000036,279.88987745000003
370,16,272.24940267499994,294.79553277499986
371,16,358.9683255750002,256.0709873250001
372,16,316.231063375,306.43728909999993
373,16,301.10596932500016,277.6351023749999
374,16,291.754499925,297.6848519250001
375,16,301.6203876750002,267.74977032500004
376,16,227.16531857500019,283.90423947500005
377,16,270.5458882999999,230.98484627499997
378,16,284.604330675,295.25916599999994
379,16,294.530579625,223.96168350000016
380,16,275.56676115000033,267.79974799999985
381,16,255.57391952500006,257.2710518749999
382,16,237.01998999999998,225.67950099999996
383,16,189.26829877500012,192.3071984
384,16,203.7141036000003,185.76253849999995
385,17,177.24605292500019,160.64406634999995
386,17,162.75033715,160.66823947499995
387,17,176.53427647500013,167.00556457499997
388,17,183.24957995000022,193.30823575000005
389,17,190.11568722500016,181.17291547499997
390,17,218.21873234999984,236.08024985000003
391,17,287.6235363000003,253.93624402499992
392,17,300.5245861000002,334.28601805
393,17,246.19128499999988,283.4055600249998
394,17,282.8358353500001,245.68677019999978
395,17,258.3291631749999,304.74140809999983
396,17,323.4289739000006,292.12203899999975
397,17,206.22962852500018,256.63112945
398,17,267.370967175,270.08325279999997
399,17,193.7574596999999,257.437158325
400,17,215.16073152500024,213.82238090000004
401,17,252.236686125,234.5476557249999
402,17,280.400045675,256.81110620000015
403,17,297.2038168250004,272.9249484500002
404,17,249.34278745000015,270.1748049
405,17,283.0424250750001,218.36743289999984
406,17,271.23060777499995,239.663717175
407,17,207.84197425000022,207.55190902499993
408,17,178.00503670000012,200.01152085
409,18,179.96918127500024,176.82896599999998
410,18,121.79141760000003,172.662648275
411,18,157.46378285000011,199.26466175000002
412,18,165.81282115000022,174.57479619999992
413,18,161.166766575,185.65726282499992
414,18,184.07747245000016,166.78981495000002
415,18,260.223895625,273.067787825
416,18,361.49726275000035,326.01557807500006
417,18,243.80860285000028,306.9836803999999
418,18,306.24359300000026,339.90999105
419,18,305.10860845000013,322.85817907500007
420,18,286.06986955,297.09546235
421,18,237.44265384999994,258.23702794999986
422,18,237.7974955749999,241.8716037999999
423,18,272.86369594999985,213.22141442499992
424,18,239.86767275000034,255.49848072499992
425,18,236.75875867499997,298.26525692500013
426,18,263.8455134500001,295.1832535499998
427,18,295.6858946250003,337.0590119750001
